=== register: 100301|44f0 ===
[2604] 0100|00|00|05|fa0001||100301|44f0||...D.||259,61508

=== register: 100301|54e0 ===
[496] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[535] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[551] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[553] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[568] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[584] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[588] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[612] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[628] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[630] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[651] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[668] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[670] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[690] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[709] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[713] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[737] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[755] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[757] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[813] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[815] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[837] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[850] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[854] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[877] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[894] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[896] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[917] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[933] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[935] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[955] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[973] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[977] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[999] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[1016] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
