2025-08-02T02:52:32.532 0100|71|99|fb|ffff01|0000d0012e047875010001d0012d0588890100000005fa0001541d01e1b90100010006f801fe541d0101a7c60100000005fa0001347101ff940100010006f801fe347101007ad90100000005fa00013458016f8b0100010006f801fe34580100b208ffec010000d0012e047875010001d0012d0588890100000005fa000154080171b70100010007f701fe54080100001e6f0100000005fa00013422010fa8010001000bf301fe34220100000000000074b70100000005fa000154040171b20100010007f701fe540401f5001e2b0100000005fa00013655013f2e0100010007f701fe365501800cbfe40100000005fa0001365401af2f01400100[payload->]...xu.....-...........T............T.............4q...........4q..z.........4X.o.........4X.............xu.....-...........T..q.........T.....o........4"...........4".......t.........T..q.........T.....+........6U.?.........6U.............6T../.@..||0,001
2025-08-02T03:06:02.372 0100|71|99|ff|ffff01|0000d0012e047875010001d0012d0588890100000005fa0001541d01e0b90100010006f801fe541d0101a7c60100000005fa0001347101ff940100010006f801fe347101007ad90100000005fa00013458016f8b0100010006f801fe34580100b208fe0100000005fa0001340f015fb50100010019e501fe340f035374726566613100000000000000000000000000fe22ff0100000005fa000154080171b70100010007f701fe54080100001e6f0100000005fa00013422010fa8010001000bf301fe34220100000000000074b70100000005fa000154040171b20100010007f701fe540401f0004e280100000005fa00013655013f2e0100010007f701fe[payload->]...xu.....-...........T............T.............4q...........4q..z.........4X.o.........4X.............4.._.........4..Strefa1..............".........T..q.........T.....o........4"...........4".......t.........T..q.........T....N(........6U.?.........||65,025
2025-08-02T04:39:32.631 0100|71|99|ff|ffff01|0000d0012e047875010001d0012d0588890100000005fa0001541d01e1b90100010006f801fe541d0101a7c60100000005fa0001347101ff940100010006f801fe347101007ad90100000005fa00013458016f8b0100010006f801fe34580100b208fffffefef8ff010000d0012e047875010001d0012d0588890100000005fa000154080171b70194010007f701fe54080100001e6f0100000005fa00013422010fa8010001000bf301fe34220100000000000074b70100000005fa000154040171b20100010007f701fe540401f0004e280100000005fa00013655013f2e0100010007f701fe365501800cbfe40100000005fa0001365401af2f01000100[payload->]...xu.....-...........T............T.............4q...........4q..z.........4X.o.........4X.................xu.....-...........T..q.........T.....o........4"...........4".......t.........T..q.........T....N(........6U.?.........6U.............6T../....||0,001
2025-08-02T04:52:32.531 0100|71|99|fe|f8ff01|0000d0012e047875010001d0012d0588890100000005fa0001541d01e1b90104050006f801fe541d0109a7c60100000005fa0001347101ff940100010006f801fe347101007ad90100000005fa00013458016f8b0100010006f801fe34580100b208ff010000d0012e047875010001d0012d0588890100000005fa000154080171b70100010007f701fe54080100001e6f0100000005fa00013422010fa8010001000bf301fe34220100000000000074b7ff0100000005fa000154040171b20100010007f701fe540401f0004e280100000005fa00013655013f2e0100010007f701fe365501800cbfe40100000005fa0001365401af2f0100010007f701[payload->]...xu.....-...........T............T.............4q...........4q..z.........4X.o.........4X............xu.....-...........T..q.........T.....o........4"...........4".......t..........T..q.........T....N(........6U.?.........6U.............6T../.......||0,503
2025-08-02T05:42:32.554 0100|71|99|ff|ffff01|0000d0012e047875010001d0012d0588890100000005fa0001541d01e1b90100010006f801fe541d0101a7c60100000005fa0001347101ff940100010006f801fe347101007ad90100000005fa00013458016f8b0100010006f801fe34580100b208010000d0012e047875430201d0012d0588890100000005fa000154080171b70100010007f701fe54080100001e6f0100000005fa00013422010fa8010001000bf301fe34220100000000000074b70100000005fa000154040171b20100010007f701fe540401f0004e280100000005fa00013655013f2e0100010007f701fe365501800ebfe40100000005fa0001365401af2f0100010007f701fe3654[payload->]...xu.....-...........T............T.............4q...........4q..z.........4X.o.........4X...........xuC....-...........T..q.........T.....o........4"...........4".......t.........T..q.........T....N(........6U.?.........6U.............6T../........6T||21,558
2025-08-02T06:54:04.367 0100|b2|08|ff|ffff01|0000d0012e047875010001d0012d0588890100000005fa000154040171b20100010007f701fe540401f0004e080100000005fa0001560f0181140104010006f801fe560f01011a670100000005fa00013655013f2e0100010007f701fe365501800cbfe40100000005fa0001365401af2f0100010007f701fe365401ac0d4338ffff0100000005fa000110030154f00100010007f701fe100301ffff859c0100000005fa000154010121b10100010006f801fe54010100a1c60100000005fa0001340f015fb50100010019e501fe340f015374726566613100000000000000000000000000fe220100000005fa00012004016bf20100010009f501fe200401[payload->]...xu.....-...........T..q.........T....N.........V............V....g........6U.?.........6U.............6T../........6T...C8.............T........................T..!.........T.............4.._.........4..Strefa1.............."........ ..k......... ..||0,260
2025-08-02T07:24:33.987 0100|71|99|ff|ffff01|0000d0012e047875010001d0012d058889ff0100000005fa000154080171b70100010007f701fe54080100001e6f0100000005fa00013422010fa8010001000bf301fe34220100000000000074b70100000005fa0001347101ff940100010006f801fe347101007ad90100000005fa00013458016f8b0100010006f821fe34580100b208010000d0012e047875010001d0012d0588890100000005fa000154040171b20100010007f701fe540401f0004e280100000005fa00013655013f2e0100010007f701fe365501800cbfe40100000005fa0001365401af2f0100010007f701fe365401ac0d4338ff010000d0012e047875010001d0036f478a890100[payload->]...xu.....-............T..q.........T.....o........4"...........4".......t.........4q...........4q..z.........4X.o.......!.4X...........xu.....-...........T..q.........T....N(........6U.?.........6U.............6T../........6T...C8........xu.....oG....||0,001
2025-08-02T07:27:04.023 0100|b2|08|ff|ffff01|0000d0012e047875010001d0012d0588890100000005fa000154040171b20100010007f701fe540401f0004e280100000005fa0001560f0181140100010006f801fe560f01011a670100000005fa00013655013f2e0108010007f701fe365501800cbfe40100000005fa0001365401af2f0100010007f701fe365401ac0d4338ff0100000005fa00011f8500f7630100010006f801fe1f850003fdd00100000005fa00012001023ab10100010007f701fe200102150019220100000005fa00011f810336210100010009f501fe1f810301000000bba40100000005fa0003101800dc3a0100010006f801fe10180004c5030100000005fa00013019003e3b01[payload->]...xu.....-...........T..q.........T....N(........V............V....g........6U.?.........6U.............6T../........6T...C8.............c...................... ..:......... ....."...........6!.............................:......................0..>;.||0,315
2025-08-02T07:42:05.086 0100|b2|08|ff|ffff01|0000d0012e047875010001d0432f0788890100000005fa000110030154f00100010007f701fe100301ffff859c0100000005fa0001560f0181140100010006f801fe560f01011a670100000005fa00013655013f2e0100010007f701fe365501800cbfe40100000005fa00012004016bf20100030009f501fe200401ffffffff850d0100000005fa0001365401af2f0100010007f701fe365401ac0d43380100000005fa0001200201cbf1010001000bf301fe200201ae8da802453b1e8d0100000005fa0003100301ecf10100010007f701fe100301ffff859cff0100000005fa0003200401d3f30342010009f501fe200401ffffffff850d0100000005fa[payload->]...xu....C/..............T........................V............V....g........6U.?.........6U............. ..k......... ................6T../........6T...C8........ ............ ......E;....................................... .....B...... ..............||64,005
2025-08-02T09:44:04.542 0100|71|99|ff|ffff01|0000d0012e047875010001d0012d0588890100000005fa000154040171b20100010007f701fe540401f0004e280100000005fa0001347101ff944100010006f801fe347101007ad90100000005fa00013458016f8b0100010006f801fe34580100b208ffff010000d0012e047875010001d0012d0588890100000005fa00013655013f2e0300030007f705fe365501800cbfe40100000005fa000110030154f04100010007f701fe100301ffff859c0100000005fa0001560f0181140100010006f801fe560f01011a670100000005fa0001365401af2f0100010087f701fe3e5401ac0d4338fef80100000001fa00012004016bf201800d0c09f509fe2004[payload->]...xu.....-...........T..q.........T....N(........4q...A.......4q..z.........4X.o.........4X.............xu.....-...........6U.?.........6U................T.A......................V............V....g........6T../........>T...C8.......... ..k......... .||1,056
2025-08-02T23:44:09.869 0100|71|99|ff|ffff01|0000d0012e047875010001d0012d0588890100000005fa00013423019fa9010001000bf301fe342301000000000000b8760100000005fa000154040171b20100010007f701fe540401f0004e280100000005fa000150aa00104e0100010006f801fe50aa0000e1b7ff010000d0012e047875010001d0012d058889ff0100000005fa000110030154f00100010007f701fe100201ffff859c0100000005fa00012004016bf20100010009f501fe200401ffffffff850d0100000005fa0001200201cbf1010001000bf301fe200201ae8da802453b1e8d0100000005fa0003100301ecf18500010007f701fe100301ffff859c0100000005fa0003200401d3f3[payload->]...xu.....-...........4#...........4#........v........T..q.........T....N(........P...N........P.............xu.....-...............T........................ ..k......... ................ ............ ......E;...................................... ....||62,419
2025-08-03T02:20:25.125 0100|71|99|ff|ffff01|0000d0012e047875010001d0012d058889ff0100000005fa000154080171b70100010007f701fe54080100001e6fff010000d0012e047875010001d00125058889ff0100000005fa000110030154f00100010007f701fe100301ffff859c0100000005fa00012004016bf20100010009f501fe200401ffffffff850d0100000005fa0001200201cbf1010001000bf301fe200201ae8da802453b1e8d0100000005fa0003100301ecf14100010007f701fe100301ffff859c0100000005fa0003200401d3f30100010009f501fe200401ffffffff850d0100000005fa000320020173f0010001000bf301fe2002010000000000006c4a0100000005fa000134[payload->]...xu.....-............T..q.........T.....o........xu.....%...............T........................ ..k......... ................ ............ ......E;...............A...................... ............ ................ ..s......... ........lJ........4||13,313
2025-08-03T09:20:37.509 0100|0b|f3|b7|ffff01|0000d0012e047875010001d0012d0588890100000005fa0001506c00b01d0100010844b20101fe506c002e01010000ffffff052f03010000ffffff0030c1031800f60e00103101010000ffffff053203010000ffffff0033c1031800f60e00103401010000ffffff053dc0010000b0024d0002b44a010001083fb7823503010000ffffff0036c1031800f60e00103701010000ffffff053803010000ffffff0039c1031800f60e00103a01010000ffffff052dc1031800[payload->]...xu.....-...........Pl.......D....Pl........../........0........1........2........3........4........=......M...J....?..5........6........7........8........9........:........-....||0,024
2025-08-03T10:29:09.559 0100|71|99|ff|ffff01|0000d0012e047875010001d0012d058889ff010000d0012e047875010001d0012d058889ff0100000005fa00013423019fa9010001000bf301fe342301000000000000b8760100000005fa000154190121bb0100010007f701fe5419013c00227bffff010000d0012e047875010001d0012d0588890100000005fa0001541d01e1b90100010006f801fe541d0101a7c60100000005fa0001342101ffa8010001000bf301fe34210100000000000061f70100000005fa0001340a010fb60100010007f701fe340a013c00aeff0100000005fa00013013009e3d0100010006f801fe30130001c4b90100000005fa000154100171bd0100010006f801fe541001[payload->]...xu.....-...........xu.....-............4#...........4#........v........T..!.........T..<."{.........xu.....-...........T............T.............4!...........4!.......a.........4............4..<...........0...=........0.............T..q.........T..||0,272
2025-08-03T10:59:09.596 0100|71|99|ff|ffff01|0000d0012e047875010001d0012d058889ffffffff010000d0012e047875010001d0012d0588890100000005fa00013423019fa9010001000bf301fe342301000000000000b8760100000005fa000154190121bb0900010007f701fe5419013c00227bffffff010000d0012e047875010001d0012d058889ff0100000005fa0001541d01e1b90100010006f801fe541d0101a7c60100000005fa0001342101ffa8010001000bf301fe34210100000000000061f70100000005fa0001340a010fb60100010007f701fe340a013c00aeff0100000005fa00013013009e3d0100010006f801fe30130001c4f90100000005fa000154100171bd0100010006f801[payload->]...xu.....-..............xu.....-...........4#...........4#........v........T..!.........T..<."{..........xu.....-............T............T.............4!...........4!.......a.........4............4..<...........0...=........0.............T..q........||0,504
2025-08-03T11:29:49.548 0100|71|99|ff|ffff01|0000d0012e047875010001d0012d058889ff010000d0012e047875010001d0012d058889ff0100000005fa00013423019fa9010001000bf301fe342301000000000000b8760100000005fa000154190121bb0100010007f701fe5419013c00227bffff010000d0012e047875010001d0012d0588890100000005fa0001541d01e1b90100010006f801fe541d0101a7c60100000005fa0001342101ffa8010001000bf301fe34210100000000000061f70100000005fa0001340a010fb60100010007f701fe340a013c00aeff0100000005fa000154100171bd0100010006f801fe5410010265170100000005fa00013660016f39010001000bf301fe366001[payload->]...xu.....-...........xu.....-............4#...........4#........v........T..!.........T..<."{.........xu.....-...........T............T.............4!...........4!.......a.........4............4..<...........T..q.........T...e.........6`.o9........6`.||0,352
2025-08-03T18:07:46.627 0100|00|01|c6|ffff01|0000d0012e047875010001d0012d0588890100000005fa0001506c00b01d0100010844b20101fe506c0026c1031800ea0b00102701010000ffffff052803010000ffffff0029c1031800ea0b00102a01010000ffffff052b03010000ffffff001e01010000ffffff05769e010000b0024d0002b44a010001083fb7821f03010000ffffff0020c1031800ea0b00102101010000ffffff052203010000ffffff0023c1031800ea0b00102401010000ffffff052503010000ffffff00d0d10100000005fa000134[payload->]...xu.....-...........Pl.......D....Pl.&........'........(........)........*........+.................v......M...J....?........... ........!........"........#........$........%..................4||13,313
